Date,Open,High,Low,Close,Adj Close,Volume
2020-01-27,7.960000,8.050000,7.900000,7.920000,7.874895,10675900
2020-01-28,7.970000,8.030000,7.890000,7.970000,7.924610,7180600
2020-01-29,7.930000,7.970000,7.770000,7.780000,7.735691,9761400
2020-01-30,7.660000,7.850000,7.620000,7.810000,7.765521,15891800
2020-01-31,7.680000,7.700000,7.560000,7.630000,7.586546,12402500
2020-02-03,7.730000,7.850000,7.730000,7.750000,7.705863,12153600
2020-02-04,7.850000,7.890000,7.720000,7.760000,7.719644,10611300
2020-02-05,7.990000,8.020000,7.870000,7.870000,7.829071,21058300
2020-02-06,8.010000,8.020000,7.710000,7.780000,7.739540,25267800
2020-02-07,7.730000,7.890000,7.650000,7.800000,7.759436,13552000
2020-02-10,7.770000,7.930000,7.710000,7.840000,7.799228,11927600
2020-02-11,8.020000,8.030000,7.830000,7.880000,7.839019,12769100
2020-02-12,7.840000,7.880000,7.700000,7.770000,7.729591,28155500
2020-02-13,7.660000,7.710000,7.560000,7.610000,7.570424,11109000
2020-02-14,7.630000,7.670000,7.490000,7.550000,7.510736,10794400
2020-02-18,7.360000,7.380000,7.240000,7.320000,7.294611,18871600
2020-02-19,7.390000,7.510000,7.390000,7.440000,7.414195,14903500
2020-02-20,7.350000,7.410000,7.250000,7.310000,7.284646,16360700
2020-02-21,7.180000,7.290000,7.150000,7.240000,7.214888,12530900
2020-02-24,6.960000,7.050000,6.850000,7.000000,6.975720,15167300
2020-02-25,7.020000,7.030000,6.820000,6.880000,6.856137,11463000
2020-02-26,6.930000,7.030000,6.700000,6.790000,6.766449,24595100
2020-02-27,6.740000,6.950000,6.710000,6.720000,6.696692,23301400
2020-02-28,6.630000,6.810000,6.560000,6.780000,6.756484,28429200
2020-03-02,6.770000,6.920000,6.660000,6.890000,6.866102,25214800
2020-03-03,6.770000,6.910000,6.590000,6.650000,6.630751,30589900
2020-03-04,6.650000,6.700000,6.490000,6.670000,6.650693,33077500
2020-03-05,6.470000,6.490000,6.270000,6.390000,6.371503,40081700
2020-03-06,6.170000,6.320000,6.100000,6.120000,6.102284,28652100
2020-03-09,5.610000,5.690000,5.400000,5.490000,5.474108,38004100
2020-03-10,5.840000,5.900000,5.590000,5.790000,5.773240,22816100
2020-03-11,5.680000,5.720000,5.060000,5.260000,5.244774,39695200
